ID,发布时间,点赞数,评论数,转发数,链接,正文
263335687,2023-10-16 12:42:38,258,49,38,https://xueqiu.com/1965894836/263335687,
261606901,2023-09-20 15:55:25,71,23,4,https://xueqiu.com/1965894836/261606901,
260594957,2023-09-07 23:25:40,86,64,4,https://xueqiu.com/1965894836/260594957,@仓又加错-刘成岗 你名扬海外了。
256216001,2023-07-21 07:03:09,127,9,8,https://xueqiu.com/1965894836/256216001,股价持续上涨会叠很多buff，持续下跌则会叠很多debuff，但重要的一直是事实，对股票来说很简单，就是企业长期能赚多少钱。这是我们过去“错过”的原因，也是我们在巨大的波动中走到今天的原因。
255161928,2023-07-09 10:52:07,250,63,72,https://xueqiu.com/1965894836/255161928,
253043340,2023-06-13 14:30:09,190,51,36,https://xueqiu.com/1965894836/253043340,
249283632,2023-05-02 22:07:00,136,5,10,https://xueqiu.com/1965894836/249283632,我们玩的一直是如何面对错误和变化的游戏，而不是害怕犯错的中庸之道，真正宝贵的是基于事实的独立思考。
244294961,2023-03-13 14:15:28,307,0,0,https://xueqiu.com/1965894836/244294961,“有关部门在履行审批、监管等职责的时候，不能只踩刹车、不踩油门，不能只设路障、不设路标，凡事要更多作应不应该给他办的价值判断，不能简单作可不可以办的技术判断。”总理加油。
243261503,2023-03-01 16:06:33,571,184,222,https://xueqiu.com/1965894836/243261503,
243233554,2023-03-01 11:59:24,80,8,1,https://xueqiu.com/1965894836/243233554,没想到牛夫人也有变小甜甜的时候…如果下跌我们能接受，似乎最终结果都不差。
242957615,2023-02-25 19:21:49,53,23,2,https://xueqiu.com/1965894836/242957615,
242378935,2023-02-17 21:46:29,293,142,132,https://xueqiu.com/1965894836/242378935,
241249831,2023-02-03 23:25:55,433,122,67,https://xueqiu.com/1965894836/241249831,
237013474,2022-12-05 09:38:14,92,9,3,https://xueqiu.com/1965894836/237013474,我们没什么看法，还是看企业。原来我们坚持的，不会被这一天改变，不信的，也依然不信。不想着收割，自然跳出预期了你的预期的怪圈。
232070300,2022-10-03 16:45:04,188,76,47,https://xueqiu.com/1965894836/232070300,
231771236,2022-09-28 15:28:06,226,84,64,https://xueqiu.com/1965894836/231771236,
231509062,2022-09-25 14:36:45,313,86,46,https://xueqiu.com/1965894836/231509062,
230961579,2022-09-17 19:01:08,2321,970,1021,https://xueqiu.com/1965894836/230961579,
230204951,2022-09-07 11:39:47,121,76,26,https://xueqiu.com/1965894836/230204951,对港股当下不要过于悲观，选股正当时。
229234262,2022-08-26 21:09:49,42,95,19,https://xueqiu.com/1965894836/229234262,行到水穷处
227102610,2022-08-03 16:03:13,81,9,8,https://xueqiu.com/1965894836/227102610,说一些技巧上的事吧，和投资我们要跨容易的栏一样，博弈游戏我们也要选择自己擅长的，如果我象棋厉害，那就下象棋，而不是翻过来玩翻翻棋。如果非要博弈，要有分辨出当下是玩什么游戏的能力，看到汉能和这次的尚乘数科，我只感到害怕，而不会遗憾，这甚至不仅仅是一个筹码游戏，而是作弊游戏，别人是看你的牌打牌的，这就是这些股为什么被叫做老千。
222972371,2022-06-17 22:47:41,212,311,137,https://xueqiu.com/1965894836/222972371,
222677033,2022-06-15 11:36:39,153,72,67,https://xueqiu.com/1965894836/222677033,
222530536,2022-06-14 09:11:49,54,56,5,https://xueqiu.com/1965894836/222530536,又轮到美股了，我们今年堪比西天取经
222201959,2022-06-09 18:11:48,18,3,0,https://xueqiu.com/1965894836/222201959,这毛利润还是没有给出我疑惑的答案
221953507,2022-06-07 14:06:35,47,6,3,https://xueqiu.com/1965894836/221953507,long only的行业基金和大部分卖方一样，无论发生什么都要圆回来，解读为利好，实在圆不回来就解读为短空长多，竞争格局向好；所谓为观点挑选论据，为结论切换角度。
220673528,2022-05-23 12:17:38,67,96,34,https://xueqiu.com/1965894836/220673528,只是看看
220607206,2022-05-22 11:47:10,81,51,9,https://xueqiu.com/1965894836/220607206,和而不同这么难？
219690738,2022-05-11 22:44:41,106,0,1,https://xueqiu.com/1965894836/219690738,你们都说我加美股傻，可在这我连《论语》都发不出来。
219402624,2022-05-09 13:59:16,162,0,11,https://xueqiu.com/1965894836/219402624,我们已经见过很多崩溃是由自大引发的。对我们投资还是要放低自己，尊重事实，常识只是经验的总结，事实才是最重要的。
218899589,2022-05-01 11:51:46,64,5,12,https://xueqiu.com/1965894836/218899589,偶尔伯克希尔也会有机会做点什么，但这并不是因为我们更聪明，而是我们更理智，这是这一行的基本要求。巴菲特讲的和我们传统智慧是想通的：“凡办大事，以识为主，以才为辅”；这句话还有下半句，“凡成大事，人谋居半，天意居半”。
217247593,2022-04-17 20:41:43,45,4,2,https://xueqiu.com/1965894836/217247593,在这一点上我还挺像一个书中描述的成功投资者的，“从事这个满足好奇心的职业竟然可以获得报酬！”
217239194,2022-04-17 17:09:08,30,4,2,https://xueqiu.com/1965894836/217239194,对大类资产而言，短期确定性和预期收益率大部分时候是很难两全的，正是短期的不确定多（也带来了高波动），要求了更多收益补偿，所以很公平。
217232055,2022-04-17 14:13:57,9,22,9,https://xueqiu.com/1965894836/217232055,为什么徒弟和师傅的理念大相径庭…
216737363,2022-04-12 12:00:04,84,0,0,https://xueqiu.com/1965894836/216737363,过去两年我们可能并不能预期到病毒变异传播力大增，但如果一直为开放准备，其实也是为抗疫做准备。
216679503,2022-04-11 21:36:15,576,661,332,https://xueqiu.com/1965894836/216679503,
216638012,2022-04-11 15:18:40,183,0,12,https://xueqiu.com/1965894836/216638012,这里全是负面情绪，或者大局论，对未来各种悲观，看多了心情不好，对投资和生活都没好处。
216335413,2022-04-07 16:10:06,143,0,3,https://xueqiu.com/1965894836/216335413,不能把赛先生也赶走，他没有观点。
216279649,2022-04-07 09:23:17,46,52,10,https://xueqiu.com/1965894836/216279649,出现了一个奇怪的名字
215316896,2022-03-27 11:54:31,377,129,120,https://xueqiu.com/1965894836/215316896,
215183911,2022-03-25 12:01:41,27,7,5,https://xueqiu.com/1965894836/215183911,我对分析师的要求是提供稳定多样的维度，基于这些维度，我可以变换角度去切入，如果这个工作反了，分析师不停变化角度，那我会很困惑。
212321362,2022-02-24 11:51:56,75,7,5,https://xueqiu.com/1965894836/212321362,顶尖的作手擅长参与泡沫并在谎言被戳穿前离场，我没有这个能力，因此更喜欢崩溃的时刻，我可以听到更多负面的声音，需要做的只是逐一区分这些观点是事实、还是情绪，时间是这些观点的朋友、还是敌手。我们这种既要承受损失，又要牺牲收益的笨办法让我觉得踏实，毕竟投资是我们自己的事，冷暖自知。
211922920,2022-02-20 12:19:34,178,0,12,https://xueqiu.com/1965894836/211922920,我们的国有企业融资成本整体大大低于民企，这也是为什么股权市场对我们如此重要，因为这个市场还是相对公平的，现在对资本喊打喊杀的舆论场最终伤害的是我们自己。还有说王兴他们工资高的，只要是合法合规赚的，一个民营企业，股东没意见，局外人反而跳脚，而真正涉及全体纳税人利益的，却无人（或者不能）评论，让人困惑。更让人困惑的是，这一年居然还在辩论这些。
211632346,2022-02-16 17:25:05,23,7,0,https://xueqiu.com/1965894836/211632346,$爱立信(ERIC)$ 隔三差五搞点事情，这次又是在伊拉克行贿，还挺看好海外这波基建投资的，但不知道该怎么跟。几乎所有华为被搞的地方，都有竞对受益，不管是手机的苹果、小米，还是逆变器的阳光电源等。
211117849,2022-02-10 18:29:45,24,9,1,https://xueqiu.com/1965894836/211117849,我们也有赛道股，烟蒂估值，天天挨锤的赛道股 可能因为没涨，被开除会籍，最近倒也不跌了
210634088,2022-02-03 23:08:04,34,8,2,https://xueqiu.com/1965894836/210634088,$Snap Inc.(SNAP)$ 一度以为我们卖早了，现在看也还行，年轻时觉得投资干个年化20%还不轻轻松松，现在想来真要搞20年公开产品也是不容易的，能平稳活下来已经算不错，我们这还不是什么金融危机呢…@刘志超
210581795,2022-02-02 10:03:51,86,8,6,https://xueqiu.com/1965894836/210581795,所谓成功有两条路，一种是成就自我，一种是踩着别人，前者天地无限广阔，后者只是井底之蛙。我认识一些博弈能力很强的，最终被大股东收割了，再也没有他们的消息，要明白和什么人玩，玩的什么游戏。
210014323,2022-01-25 16:43:05,396,133,250,https://xueqiu.com/1965894836/210014323,
206635938,2021-12-22 00:12:23,38,8,2,https://xueqiu.com/1965894836/206635938,$哔哩哔哩(BILI)$ 这里有一场大戏，但如果对垒双方，一个只有好，一个只有坏，都是观点在前，那就很难客观。不过熊市的好处是我们至少又可以重新深度思考商业本身了，相对于比胆量大赛，这是一件更让人有获得感的事。
205959092,2021-12-15 00:21:29,23,8,1,https://xueqiu.com/1965894836/205959092,$国企指数(HKHSCEI)$ 刚过了下目前这个指数权重超过1%的持仓，这个指数以目前的结构看还不错，适合懒人，但前提是不要再高位高权重纳入快手这些新股了，被人套利的不像话。
204290556,2021-11-26 21:31:18,17,4,0,https://xueqiu.com/1965894836/204290556,那么喜欢环比增长，多卖点1P，多烧点费用好了。两天前一份靠费用烧出来的财报开盘反而博得满堂彩，不知道怎么想的。
202011024,2021-11-03 13:00:22,49,7,5,https://xueqiu.com/1965894836/202011024,让屁股决定脑袋，让情绪决定操作，这是人之常情，但投资人要把自己抽离出来，追求理性，回归客观。
201687383,2021-10-31 11:36:44,30,6,1,https://xueqiu.com/1965894836/201687383,Facebook在这轮科技巨头的三季报里肯定排不上优秀，明年对资本开支增长的指引更是很难让财务投资者开心，但也只有创始人公司能有这样的长期投资决心，我们还是乐意维持了一定的配置比例；鉴于元宇宙不管是成熟度，还是距离规模商业化的遥远，我们给的权重不会太高。
201019124,2021-10-25 14:14:14,112,85,39,https://xueqiu.com/1965894836/201019124,
198739878,2021-09-25 12:42:42,41,14,12,https://xueqiu.com/1965894836/198739878,
198325118,2021-09-21 09:57:08,197,158,230,https://xueqiu.com/1965894836/198325118,
198017397,2021-09-16 20:57:52,54,2,5,https://xueqiu.com/1965894836/198017397,我们“保守”是因为自信，所以不争。 这行需要持久的热情和坚韧，但不需要争朝夕。
197759971,2021-09-15 00:04:26,46,7,2,https://xueqiu.com/1965894836/197759971,历史上的今天
196186371,2021-08-31 15:20:21,201,99,95,https://xueqiu.com/1965894836/196186371,
196056741,2021-08-30 19:21:08,28,5,0,https://xueqiu.com/1965894836/196056741,如果要给我们历史找基准，从过往的仓位分布看，可能比较合适的是60%恒指，20%纳斯达克，20%沪深300。
195047020,2021-08-22 10:49:54,212,0,4,https://xueqiu.com/1965894836/195047020,“解放思想，实事求是”小时候背的时候啥也不懂，现在觉得超级牛。
194909792,2021-08-20 13:48:54,268,0,28,https://xueqiu.com/1965894836/194909792,对创新最好的激励，永远是对长期主义和合法超额收益的保护，如果是卸磨杀驴的预期，吸引到的只有投机者。
194696321,2021-08-19 02:06:03,1255,0,242,https://xueqiu.com/1965894836/194696321,今天两份财报，腾讯为共同富裕专项计划投入1000亿 ，而华融亏损1000亿，我无法入睡，有时候我觉得做个好人很难，舆论天天捶，落井下石者众。随便举一例，腾讯会议一直是免费的，疫情期间腾讯会议使用量大增，其实消耗了很大的带宽资源，但因为游戏 视频的使用集中在晚上休息时间，而电话会议更多是白天，这就有闲置的服务器资源可供使用，我们便利的背后都不是没来由的。大家诟病的电商扣点高，看看亚马逊的财报，再比较下我们的，很多答案也不言自明，这些优秀的企业能脱颖而出是因为提升了社会效率。在中国做企业不容易，好未来被捶成这样，转手响应号召加入了婴幼儿照护业务，我觉得他们像小草，很坚强，挣扎着求存…
194540717,2021-08-17 21:08:54,246,312,120,https://xueqiu.com/1965894836/194540717,
194242963,2021-08-14 20:06:46,12,3,2,https://xueqiu.com/1965894836/194242963,现在的所谓5万亿合理，终局估值大法。
193879203,2021-08-11 14:49:38,292,105,109,https://xueqiu.com/1965894836/193879203,
193030550,2021-08-03 16:42:42,53,7,7,https://xueqiu.com/1965894836/193030550,好的分析师往往是黑白分明的，但好的基金经理可能是灰色的，要为价格长期偏离价值做好预案，不管是向上偏离，还是向下偏离。
192106694,2021-07-26 16:22:13,16,0,0,https://xueqiu.com/1965894836/192106694,$香港科技探索(01137)$ 当初1137拿不到电视牌照时，也没想到靠电商来完成转身，优秀的团队总有办法度过危机，何况我们只用出价0.5pb，而账上几乎都是现金。
192074903,2021-07-26 13:30:24,52,17,4,https://xueqiu.com/1965894836/192074903,周五晚上看我们笑话的吃瓜群众……
191953125,2021-07-24 19:56:29,136,0,9,https://xueqiu.com/1965894836/191953125,过往的“常识”并不可靠，18年所谓的国进民退，15年阿里大战工商，我们都站在市场这一边，更不用说从92南巡开始的一系列分歧，最后都是市场派（发展派）赢了。但这个常识中市场赢是假象，其实是发展赢了，真正的“常识”是要在高速发展（提升社会效率）下选择市场，也就是我们要在增量领域去做市场派，而在卷的行业做好非市场的最坏预案。
191071358,2021-07-19 19:26:04,31,9,1,https://xueqiu.com/1965894836/191071358,离开了粗放增长的大时代，强人模式的企业受到的冲击也相对更大，成也强人，败也强人。董明珠执意收购珠海银隆（幸好被否），孙宏斌执意收购乐视、万达文旅资产包。
190472946,2021-07-14 23:08:53,65,9,3,https://xueqiu.com/1965894836/190472946,当我们从事一份随时被人评价的工作，更不用说每天上窜下跳的股价时时刻刻记录你的净值，这很容易让人迷失，拥有内部记分牌就尤为重要，可以确保我们在外部压力下不随波逐流，尽可能理性地做出有利于长期回报率的决策。
190435845,2021-07-14 17:15:28,22,17,0,https://xueqiu.com/1965894836/190435845,为什么这也不让发？
187381843,2021-06-27 13:45:20,32,4,0,https://xueqiu.com/1965894836/187381843,路透的造谣能力可以的，soho收购邀约上三番两次放烟雾弹，各种知情人士，言之凿凿，真出邀约的这次反而没了声音。最近对政策的一些预判同样如此，只能说明他们离真正的决策圈越来越远，更像配合资金的路边社。
179795177,2021-05-14 07:40:48,34,4,4,https://xueqiu.com/1965894836/179795177,我们要的是利润，阶段性给某些特定业务（一般具有高毛利率 高费用率特点）ps估值，也是为了规模经济后长期获利，而不是为了解释当下股价合理性。回归到事物本质，我们就可以少踩一些坑。
175764900,2021-03-29 21:38:45,47,9,0,https://xueqiu.com/1965894836/175764900,人尽皆知的爆仓，如果没有估值为盾，还是小心一些，比信息，是比不过大机构的。
175231856,2021-03-23 21:37:51,455,293,213,https://xueqiu.com/1965894836/175231856,
174437488,2021-03-15 12:47:58,52,7,3,https://xueqiu.com/1965894836/174437488,段永平有句名言“本分”，我理解的本分就是在能力范围内做事，超过管理能力的钱我们要说不，市场没那么多机会（长期收益率可能下滑）的时候如实告知，不创造长期价值的事少做（比如各种路演），虽然从事了资产管理行业，但我们首先是投资人。
174312614,2021-03-13 06:54:42,61,12,12,https://xueqiu.com/1965894836/174312614,
172233074,2021-02-20 18:24:12,36,13,1,https://xueqiu.com/1965894836/172233074,画饼的套路玩了三百年，我们依然在买单。
171596449,2021-02-10 23:13:31,28,3,1,https://xueqiu.com/1965894836/171596449,我们怎么看待市场，市场最终也将回馈以同样的，从来都很公平。
169335145,2021-01-20 16:25:43,23,9,3,https://xueqiu.com/1965894836/169335145,回头看我们也经常笑话当时那么多傻瓜，但身在此山中 也常常会自我怀疑，是不是真不一样了？特别是身边所有人都据此决策，并获得暴利的时候。谎言重复一百遍，真理和谎言似乎也没最初那么清晰明了。
168817710,2021-01-15 10:37:18,258,164,156,https://xueqiu.com/1965894836/168817710,
167543927,2021-01-04 15:11:56,20,24,12,https://xueqiu.com/1965894836/167543927,首富密码
163381267,2020-11-16 13:15:48,103,47,45,https://xueqiu.com/1965894836/163381267,
160894009,2020-10-14 13:54:48,33,5,1,https://xueqiu.com/1965894836/160894009,我觉得衡量投资有且只有一个标准，长期收益率，离开这个谈大饼，都是镜花水月，煮熟的鸭子都能飞了。
160430542,2020-10-05 11:02:52,15,8,0,https://xueqiu.com/1965894836/160430542,没有港股通，也没有收益互换的日子，像穿越到了6、7年前[好困惑] 曾经的小伙伴们都还好吗？@岁寒知松柏 @一个肉社团 @闲人学艺
160397334,2020-10-03 15:13:19,98,37,39,https://xueqiu.com/1965894836/160397334,
159886831,2020-09-24 09:46:32,31,7,2,https://xueqiu.com/1965894836/159886831,我们追求事实而不是价格，这种探求是对好奇心的满足，往往好结果也会随之相伴，偶尔不如意，也得学会欣然接受。短期市场让人迷惑的地方是价格往往比事实更大嗓门，而事实只是静静的在那里，我们要做的就是让时间站在事实这一边。
158980365,2020-09-11 07:00:45,65,9,11,https://xueqiu.com/1965894836/158980365,答复投资人关于最近市场的担心：我们不太关心市场，本质上是一些标的估值太高，长期收益算不过来，所以我们配置的时候回避了这些资产，只有投机价值（以不合理的价格卖给下一个出价更高的人）我们是不做的，即使短期似乎很容易赚钱，所以8月时我们盈利不多，而目前也没什么回撤。事实上在我投资的10多年中，除了2018年我们因为自身判断的问题，当时的核心仓位facebook遭遇隐私门，导致全年有10%左右的回撤，其他年份都是获利的，期间也经历过港股的多次崩溃（日本核泄漏 欧债危机），A股15/16年的连续跌停，美股今年3月的四次熔断。我们内在追求的是保持理性，外在追求的是发现企业效率的改变，我的经历告诉我，坚持做好这两点，我们的长期目标自然水到渠成。
156359764,2020-08-11 15:20:40,22,9,1,https://xueqiu.com/1965894836/156359764,当我说皇帝没有穿衣服的时候，却招致了很多误解，但还是希望未来可以一如既往做个简单诚实的人。
149245285,2020-05-13 23:18:41,2,17,2,https://xueqiu.com/1965894836/149245285,$风口浪尖(ZH1396929)$ @PaulWu 腾讯的美股没法配置在美股组合还挺耽误事的，这算bug吗@不明真相的群众[¥6.00]
148587804,2020-05-05 13:55:22,21,4,2,https://xueqiu.com/1965894836/148587804,我不会对企业家原罪这种大问题下注，真有问题，我接受，仓位的风控就体现在这里；要找原罪，哪个企业我们敢拍胸脯，除了家人，没什么别的值得我们all in的；类似我遇到过不会下注的大问题，包括中概股全部退市、疫情何时解决、贸易战走向等等；拿我一直打趣的中概股退市来说，中概股我认为99.9%不会发生因为vie结构/或者审计底稿导致退市的情况，但也还有0.1%呢，我觉得有些绕不过去黑天鹅得试着接受，遵守交规走在马路上都有被车撞的风险，何况投资。（答关于潘石屹原罪的风险）
148548440,2020-05-04 16:29:10,20,9,5,https://xueqiu.com/1965894836/148548440,只要我们持续保持研究和决策的质量，回归微观，关注变化，好结果自然会来。对现阶段的我们（分散度足够覆盖大部分个股黑天鹅），一时的成败，可能未必那么重要，胜不足喜，败亦不足馁。PS：有感于某持仓暴跌。
148541538,2020-05-04 12:43:41,25,4,5,https://xueqiu.com/1965894836/148541538,"It is important to keep in mind that the financial press and Wall Street live on eyeballs and transactions. They are, by definition, trying to maximize the noise—to convince you to sell what you own and buy what you do not. 重要的是要记住，金融媒体和华尔街依靠关注和交易生存。从本质上讲，它们只是在试图使噪音最大化，以说服你出售已经拥有的东西而购买还不曾拥有的东西。"
147877790,2020-04-26 18:28:33,181,219,130,https://xueqiu.com/1965894836/147877790,
147864097,2020-04-26 14:30:29,84,32,56,https://xueqiu.com/1965894836/147864097,
146477464,2020-04-09 22:23:12,14,1,0,https://xueqiu.com/1965894836/146477464,$哔哩哔哩(BILI)$ 有共赢的资源，更有共赢的思维 我们学习的榜样。
145310039,2020-03-27 08:04:35,12,8,6,https://xueqiu.com/1965894836/145310039,$道琼斯指数(.DJI)$ 我们总是高估短期，又总是低估长期。
144936817,2020-03-24 00:43:08,6,7,0,https://xueqiu.com/1965894836/144936817,$风口浪尖(ZH1396929)$ @PaulWu 左侧还是现金为王吧。对这些拥有大量现金/现金流的公司来说，现在未必不是一个好情况，压制了创新者，提供了并购机会.。
144414196,2020-03-18 21:20:23,67,18,16,https://xueqiu.com/1965894836/144414196,
144348143,2020-03-18 11:42:18,13,7,3,https://xueqiu.com/1965894836/144348143,$哔哩哔哩(BILI)$ b站我们一直不太看业绩，看用重户数、活跃度; 但这份q4财报恰恰是业绩好（包括展望的收入），用户数增长可能略平淡。q1因为疫情用户方面应该没啥大问题吧，未来关注点可能在留存和获取新用户上能不能进一步超预期。
144123481,2020-03-16 19:59:40,11,8,0,https://xueqiu.com/1965894836/144123481,$道琼斯指数(.DJI)$ 这轮的特点是无差别，被动基金减仓的特点，并没有什么防御股之分，以前我们可以换股抗，这轮都差不多，选什么都一样，但正是如此，扛过这轮流动性危机后，长期机会在酝酿，毕竟业绩会分化。
143649910,2020-03-12 05:16:21,15,14,5,https://xueqiu.com/1965894836/143649910,
143313155,2020-03-09 13:53:06,11,6,5,https://xueqiu.com/1965894836/143313155,身边越来越多人投入成长股的怀抱，一方面很欣慰，一方面也很恐慌，当市场变得不再多元，风险也在酝酿。我们过去的收益有多少来自成长，又有多少来自风格？我看后者可能占了大数。
141483484,2020-02-18 12:47:56,20,6,1,https://xueqiu.com/1965894836/141483484,有人辞官归故里，有人星夜赶科场。少年不知愁滋味，老来方知行路难。
139881544,2020-01-22 20:34:26,31,2,3,https://xueqiu.com/1965894836/139881544,4季度小结 2019年值得总结的不如2018年 ，贴一份4季报 ，权当记录吧 。 四季度我们持有公司持续释放业绩 ，尤其是主要持仓特斯拉很好控制了成本 ，而中国工厂推进快于预期 ，充分证明了美国科技一旦插上中国制造的翅膀 ，将获得极强的市场竞争力 。 特斯拉只是共赢的一例 ，但起到了很好的示范作用 ，未来我们会见到更多美国科技叠加中国制造的奇迹 。我们的主要持仓SNAP ，虽然是纯美股 ，但它在深圳拥有研发中心 ，最大的广告客户是tiktok （抖音海外版 ） ，这是中美经济交融获得成功的又一例 。1月15日中美签署了第一阶段的贸易协议 ，未来我们既要认识到分歧 ，更要寻找共赢 ，这是长期机遇所在 。 过去一个季度香港面临巨大的挑战 ，本地民粹的兴起 ，给市场带来动荡 ，但香港市场上市并不等于业务在香港 ，很多公司遭遇了错杀 ，这将是我们中期布局的方向 。我们寻找到了不少股息回报超过8%的行业龙头公司 ，而2019年香港发生了13起私有化 ，这是过去10年之最 ，充分证明了香港市场估值的巨大吸引力 。 A股市场短期热点辈出 ，我们在3季报中提到的5G和新能源等行业 ，都出现了涨幅惊人的标的 ，但市场正在迅速泡沫化 ，这需要引起我们的警觉 。两融余额的快速上升 ，千亿公募的火爆募集 ，外资的持续流入 ，确实带来了资金面的极大宽松 ，然而机遇中蕴藏着风险 ，创造长期回报的是企业的现金流 （roe ） ，如果这一基本要素没有得到显著改善 ，估值的迅速抬升 ，必然导致未来长期回报的下降 。 未来我们将维持过往的对冲策略 ，审慎地决策 ，继续深入挖掘优秀的企业 。一晃已经五个年头 ，有收获的年份 ，也有播种的年份 ，做为管理人我一直感到重任在肩 ，由衷感谢投资人对我们的长期信任 。
138436326,2020-01-01 11:59:03,14,9,1,https://xueqiu.com/1965894836/138436326,多个客户要求我们发一个净值是1的产品，他们好追加认购，有点困扰，我海外和国内都只管理一个不是对他们最负责的做法吗？
138248306,2019-12-30 09:15:12,16,9,1,https://xueqiu.com/1965894836/138248306,做了一个非常奇怪的梦 ，梦里我和扎克伯格是小时候的朋友 ，他还来中国看过我 ，这次我去美国给他过生日 ，生日是5月24号 （刚百度了一下5月14号 ，我从来没查过他的生日 ） 。我走的时候忘带苹果手机了 ，带了华为的 ，怎么也装不上Facebook 。扎克伯格来机场接我 ，路上和我聊了cybertruck ，说这车的设计不错 ，我和他说买了model3 。最后他带我去中餐馆吃饭 ，餐馆里的人看到小扎很激动 ，我有点失落 ，多年不见他都这么有成就了 ，我还只是nobody ，后来就醒了 。
131221870,2019-08-15 22:06:01,6,3,0,https://xueqiu.com/1965894836/131221870,电商不是消费 不是内需？ 互联网行业赚的是“假”现金流？
131075128,2019-08-13 16:39:01,0,6,0,https://xueqiu.com/1965894836/131075128,$高波动长周期(ZH1037581)$ @PaulWu  最近上雪球太少了，维护起来有困难，为避免误导，关停这个组合。
130615379,2019-08-04 15:49:37,13,4,0,https://xueqiu.com/1965894836/130615379,今年的a股感觉像上财务基础普及课
130267651,2019-07-28 14:36:47,6,5,1,https://xueqiu.com/1965894836/130267651,林书豪的演讲看得我泪流满面哈，运动员的职业生涯太短，犯错的余地太小，那句“I DONE”好像还在眼前。“我可能永远没法成为我可以成为那个球员了”，心碎。
127599681,2019-06-01 10:44:48,71,61,14,https://xueqiu.com/1965894836/127599681,这年头连都不安全了
121764492,2019-02-26 13:08:40,13,10,4,https://xueqiu.com/1965894836/121764492,深刻理解了为什么a股牛短熊长
120762516,2019-02-05 08:11:32,12,14,13,https://xueqiu.com/1965894836/120762516,开工大吉，猪事顺利！
